Date,Open,High,Low,Close,Adj Close,Volume
01-10-2020,135.699997,136.5,132.600006,133.5,133.5,1674311
05-10-2020,137,137.5,132.050003,133.899994,133.899994,2800303
06-10-2020,137.800003,145.699997,135.899994,144.850006,144.850006,10190922
07-10-2020,144.100006,144.5,139.800003,141,141,4032654
08-10-2020,142.800003,143.350006,139.649994,140.899994,140.899994,2491175
09-10-2020,141.399994,142.649994,138,138.449997,138.449997,1423879
12-10-2020,139.550003,139.850006,133.050003,135.850006,135.850006,2787824
13-10-2020,135.550003,137.100006,132.850006,134.100006,134.100006,1370296
14-10-2020,134,134.600006,128.800003,130.699997,130.699997,1752029
15-10-2020,131.899994,134.350006,126.5,127,127,3983711
16-10-2020,129.800003,130,126,127.699997,127.699997,3339831
19-10-2020,130.699997,130.699997,127.849998,128.25,128.25,1667032
20-10-2020,128,130.25,126.400002,129.649994,129.649994,2072303
21-10-2020,131.25,133,128.25,130.25,130.25,3493665
22-10-2020,129.050003,134.5,128.449997,133.449997,133.449997,3949368
23-10-2020,134.850006,138.899994,134.149994,137,137,3019050
26-10-2020,139.399994,140.75,131.199997,133.649994,133.649994,6481648
27-10-2020,134,136.800003,131,135.699997,135.699997,2354638
28-10-2020,138.199997,143.149994,133.5,134.800003,134.800003,10895926
29-10-2020,132.399994,133,130,131.899994,131.899994,3900882
30-10-2020,132.899994,134.5,130.300003,132.699997,132.699997,3535203
02-11-2020,133.699997,134,131.100006,132.850006,132.850006,3930814
03-11-2020,134.850006,137.350006,133.649994,134.100006,134.100006,4349169
04-11-2020,134.649994,137,134,135.850006,135.850006,4467240
05-11-2020,136.949997,138,136,137.649994,137.649994,1869117
06-11-2020,137.899994,142.25,137.75,138.899994,138.899994,4560932
09-11-2020,140.350006,141.5,138.75,141,141,1864786
10-11-2020,143.25,146.550003,142.699997,146,146,6295710
11-11-2020,146,151.399994,145.75,150.949997,150.949997,7167086
12-11-2020,150,153.800003,150,151.149994,151.149994,3728837
13-11-2020,150,150,145.5,146.350006,146.350006,1759776
17-11-2020,151.699997,159.100006,151.699997,158,158,7207341
18-11-2020,158.600006,174.949997,158.600006,173.550003,173.550003,10988480
19-11-2020,171.800003,176.350006,166.600006,167.75,167.75,7800401
20-11-2020,170,171.550003,165.550003,169,169,3049951
23-11-2020,169.699997,173.899994,165.600006,170.600006,170.600006,2467428
24-11-2020,172.300003,175.550003,171.199997,172,172,2891967
25-11-2020,175,176.850006,169.25,171.399994,171.399994,2574062
26-11-2020,171.699997,174.899994,171.050003,173.75,173.75,1363494
27-11-2020,174.449997,183.75,174.449997,180.25,180.25,7612050
01-12-2020,183.25,183.25,178.100006,179.699997,179.699997,2381640
02-12-2020,184.100006,187.300003,181.149994,183.550003,183.550003,5202699
03-12-2020,185,186,183.300003,184.800003,184.800003,2377418
04-12-2020,186.699997,188.75,182.25,184.149994,184.149994,3479711
07-12-2020,184.699997,186.449997,182.800003,183.550003,183.550003,3447221
08-12-2020,185.350006,185.699997,178.949997,181.75,181.75,2359362
09-12-2020,182.649994,186.399994,181.800003,182.699997,182.699997,2954649
10-12-2020,182.699997,182.75,176.449997,177.600006,177.600006,3178214
11-12-2020,178.100006,181.449997,176.600006,178.800003,178.800003,3009313
14-12-2020,181,181,176.800003,177.600006,177.600006,3755794
15-12-2020,176.800003,179.5,173.300003,178.800003,178.800003,1890994
16-12-2020,181,183.800003,180.300003,182.5,182.5,3455087
17-12-2020,183.600006,184.149994,180.649994,181.649994,181.649994,1878837
18-12-2020,181.100006,181.449997,176.699997,180.5,180.5,1595408
21-12-2020,176.5,177.5,162.449997,164.550003,164.550003,3742380
22-12-2020,164,169.100006,156.550003,165.050003,165.050003,8247143
23-12-2020,165.699997,169.699997,163.350006,169.199997,169.199997,6186133
24-12-2020,171.5,177.899994,171.5,175.899994,175.899994,5228776
28-12-2020,180,187.449997,179,186.300003,186.300003,4106762
29-12-2020,188,188.600006,181.050003,183.399994,183.399994,3312073
30-12-2020,183.300003,185.300003,180.449997,184,184,1478809
31-12-2020,185,187.5,182.850006,183.699997,183.699997,2122018
01-01-2021,185.25,187,184.550003,186.449997,186.449997,1158750
04-01-2021,192,193,188.800003,191.199997,191.199997,2832471
05-01-2021,187,193.949997,185.050003,193.25,193.25,3650476
06-01-2021,194.050003,197.449997,190.699997,195.350006,195.350006,5666225
07-01-2021,197,200.350006,195.449997,196.699997,196.699997,4978434
08-01-2021,199.149994,201.449997,197.25,198.100006,198.100006,3221977
11-01-2021,199.800003,225,199.550003,220.100006,220.100006,7959649
12-01-2021,228.800003,249.5,224.050003,237.800003,237.800003,20541348
13-01-2021,243.300003,248.800003,238.550003,242.5,242.5,11660473
14-01-2021,243,249.800003,238.600006,245.149994,245.149994,4130572
15-01-2021,246.350006,264.600006,242.5,260.399994,260.399994,17370425
18-01-2021,262.399994,262.399994,241.149994,245.649994,245.649994,11550376
19-01-2021,251.699997,261.700012,251.399994,258.850006,258.850006,6386190
20-01-2021,260,277.600006,259,274.899994,274.899994,13752988
21-01-2021,282,299,280.100006,290.450012,290.450012,17635185
22-01-2021,296,306.899994,278.299988,289.399994,289.399994,14867458
25-01-2021,299.899994,299.899994,277.399994,279.049988,279.049988,12225688
27-01-2021,278,278,265.75,267.399994,267.399994,6060640
28-01-2021,259.799988,273.450012,259,266.850006,266.850006,7406729
29-01-2021,273.399994,278.850006,260.600006,262.600006,262.600006,10077046
01-02-2021,270.399994,281.950012,255.550003,279.75,279.75,9091062
02-02-2021,292.75,332.399994,290,322.299988,322.299988,22854765
03-02-2021,339.399994,341.850006,326.25,330.950012,330.950012,16250000
04-02-2021,330.700012,334.399994,322.5,326.100006,326.100006,6925075
05-02-2021,328.899994,329.899994,312.850006,315.899994,315.899994,5787491
08-02-2021,318.950012,339.25,316.799988,335.850006,335.850006,5875468
09-02-2021,337,338.549988,322.149994,325.100006,325.100006,5406350
10-02-2021,325.549988,332.5,319.5,328.950012,328.950012,7313560
11-02-2021,326.049988,331.350006,323,324.899994,324.899994,4273371
12-02-2021,326.549988,330.399994,321.350006,325.25,325.25,3578496
15-02-2021,330.399994,335.600006,324.049988,333.299988,333.299988,3847809
16-02-2021,335.799988,337.899994,327.600006,329.049988,329.049988,3878347
17-02-2021,327,334.25,325.549988,330.100006,330.100006,2708521
18-02-2021,331.5,331.899994,317.649994,323.299988,323.299988,2511859
19-02-2021,322.5,322.5,301.5,312,312,4202696
22-02-2021,311.549988,314,302.149994,304.149994,304.149994,5997129
23-02-2021,308,328.799988,308,324.100006,324.100006,6654359
24-02-2021,326.299988,330,305.100006,320.950012,320.950012,15104538
25-02-2021,325.399994,334.5,323.299988,333.100006,333.100006,7349275
26-02-2021,324,333,318.799988,323,323,4893904
01-03-2021,329.899994,331.850006,322.549988,328.100006,328.100006,5221906
02-03-2021,330.700012,347.100006,326.649994,345.700012,345.700012,6450114
03-03-2021,348.700012,357,346.600006,348.5,348.5,4442426
04-03-2021,340.799988,345.299988,337.25,339.200012,339.200012,5215719
05-03-2021,334.5,337.799988,319.799988,325.100006,325.100006,7493136
08-03-2021,331.5,331.549988,318.850006,321.25,321.25,4669627
09-03-2021,325.299988,328.25,309.700012,315.200012,315.200012,6082763
10-03-2021,320,324.399994,316.75,321.350006,321.350006,3898952
12-03-2021,325.899994,326.350006,314.299988,317.450012,317.450012,2103674
15-03-2021,320.399994,320.649994,310.100006,318.450012,318.450012,2305974
16-03-2021,320.299988,321.799988,315.299988,319.75,319.75,1860583
17-03-2021,317,320,304,305.850006,305.850006,2202123
18-03-2021,310.600006,316.5,299.75,306.899994,306.899994,5997189
19-03-2021,303.299988,311,290.350006,308.950012,308.950012,5202269
22-03-2021,308.899994,308.899994,300.100006,303.049988,303.049988,2657465
23-03-2021,305,312.100006,304.100006,307.299988,307.299988,3010510
24-03-2021,304,305.049988,293.299988,294.450012,294.450012,3362176
25-03-2021,294.299988,294.299988,282.350006,285.5,285.5,4386750
26-03-2021,292,301.5,290.399994,296.299988,296.299988,3688101
30-03-2021,300,301.399994,292.700012,296.950012,296.950012,2471291
31-03-2021,298.649994,307.5,297.549988,301.850006,301.850006,3236502
01-04-2021,306.5,309.799988,303.049988,307.600006,307.600006,3723767
05-04-2021,307.899994,311.649994,297.200012,305.049988,305.049988,4112463
06-04-2021,305.600006,313.899994,304.75,307.649994,307.649994,5334339
07-04-2021,307.25,310.75,305,307.799988,307.799988,2602498
08-04-2021,308.549988,319.700012,307.850006,313.850006,313.850006,6162512
09-04-2021,314,325,312.600006,318.149994,318.149994,3582021
12-04-2021,308.100006,308.100006,284,286.600006,286.600006,5773388
13-04-2021,287.700012,304.5,280.549988,302.700012,302.700012,7813158
15-04-2021,303.200012,307.5,296.549988,303.5,303.5,3675061
16-04-2021,302.399994,315,300.299988,309.899994,309.899994,3540808
19-04-2021,292,304.549988,292,300.950012,300.950012,3297146
20-04-2021,307.799988,308.100006,294.200012,297.950012,297.950012,2572432
22-04-2021,294.899994,302.5,292.25,294.549988,294.549988,3011818
23-04-2021,292,299.950012,290.75,294,294,2596469
26-04-2021,296.399994,299,294.5,295.399994,295.399994,1384321
27-04-2021,295.350006,302.450012,295.350006,301.450012,301.450012,1230925
28-04-2021,302.549988,309.600006,302.549988,305.899994,305.899994,1987473
29-04-2021,308,310.200012,301.350006,301.850006,301.850006,1683634
30-04-2021,299,301.299988,292.850006,293.950012,293.950012,1677637
03-05-2021,285.649994,294.700012,285.149994,293,293,2809702
04-05-2021,296.600006,299.649994,288.100006,289.350006,289.350006,2831512
05-05-2021,293.899994,293.899994,288.600006,291.5,291.5,1498517
06-05-2021,290.549988,301.950012,290,301.149994,301.149994,2064712
07-05-2021,303.200012,305.850006,300.450012,302.799988,302.799988,1639643
10-05-2021,304.5,315.5,304,314.799988,314.799988,4830939
11-05-2021,309.950012,320.700012,308.25,315.649994,315.649994,2649170
12-05-2021,317.100006,334.700012,316.950012,325.850006,325.850006,8847706
14-05-2021,331,331,310.200012,312.350006,312.350006,3940100
17-05-2021,315.950012,323.799988,311.5,321.100006,321.100006,3453593
18-05-2021,326,336.549988,324.100006,332.350006,332.350006,4587490
19-05-2021,315,322.950012,312.149994,314.5,314.5,5237832
20-05-2021,314.899994,316.5,306.100006,307.75,307.75,3943060
21-05-2021,312,315.5,309.5,313.100006,313.100006,2897263
24-05-2021,313.850006,315.950012,310.149994,311.799988,311.799988,1447771
25-05-2021,315,318.950012,313.850006,315.299988,315.299988,1704904
26-05-2021,316.799988,319.899994,315,315.5,315.5,2232152
27-05-2021,316.899994,323.350006,316.899994,318.600006,318.600006,2040885
28-05-2021,322.850006,324.399994,316.549988,318.950012,318.950012,1491332
31-05-2021,319.399994,319.5,312.100006,318.700012,318.700012,2185714
01-06-2021,319.649994,325.700012,317.399994,318.100006,318.100006,1479190
02-06-2021,316.200012,324.25,315.5,323,323,2196974
03-06-2021,324.149994,327.5,323.649994,325.450012,325.450012,2157151
04-06-2021,325.450012,336.899994,324.5,334.950012,334.950012,1897098
07-06-2021,338.549988,351,338.549988,345.5,345.5,5575585
08-06-2021,346.75,356.5,337.350006,352.850006,352.850006,3488224
09-06-2021,356.5,358.799988,339.600006,343.25,343.25,4480912
10-06-2021,345.649994,347.850006,342.5,344.600006,344.600006,1154435
11-06-2021,346.450012,352.899994,344.75,350.75,350.75,1605772
14-06-2021,350,357.799988,341.049988,356,356,3012354
15-06-2021,356,360.649994,351.200012,352.649994,352.649994,2697386
16-06-2021,350.799988,355.950012,348,349.299988,349.299988,1196626
17-06-2021,348,352.899994,342.399994,345.600006,345.600006,1243844
18-06-2021,346,347.200012,329.049988,337.549988,337.549988,2257795
21-06-2021,330.200012,335.799988,326.149994,334.350006,334.350006,2295826
22-06-2021,337,344.200012,336.299988,337.950012,337.950012,1996277
23-06-2021,341.450012,343.25,334.399994,335.25,335.25,1747606
24-06-2021,335.700012,337.399994,333.450012,334.549988,334.549988,821763
25-06-2021,336.5,342.850006,336.100006,339.549988,339.549988,1175807
28-06-2021,340.799988,344.899994,337.5,342.899994,342.899994,999967
29-06-2021,344.399994,346.5,339.600006,341.549988,341.549988,1780699
30-06-2021,342,345.200012,338.799988,339.549988,339.549988,1039566
01-07-2021,341.649994,347.5,341.299988,344.200012,344.200012,1364768
02-07-2021,345.899994,345.899994,340.600006,344.850006,344.850006,772457
05-07-2021,348.799988,350,344.049988,346.049988,346.049988,948393
06-07-2021,348.350006,358.100006,311.450012,316.950012,316.950012,7377141
07-07-2021,316,319,306.299988,317.049988,317.049988,7977411
08-07-2021,315.399994,315.399994,305,306.299988,306.299988,4117874
09-07-2021,306.799988,308.899994,302,306.350006,306.350006,2352249
12-07-2021,309.899994,311.899994,306.25,307.450012,307.450012,3518291
13-07-2021,310.200012,312.200012,308.200012,310.899994,310.899994,1510539
14-07-2021,310.5,313.299988,308.549988,309.450012,309.450012,1038386
15-07-2021,310.899994,312.850006,307.549988,310.200012,310.200012,1004468
16-07-2021,310.5,315.399994,310.5,311.25,311.25,1138753
19-07-2021,309.700012,310.350006,306.25,308.700012,308.700012,1656920
20-07-2021,307.450012,308.100006,301.100006,302.049988,302.049988,1300956
22-07-2021,306.149994,307,301.100006,302.600006,302.600006,811211
23-07-2021,301.799988,301.799988,295,295.649994,295.649994,3079947
26-07-2021,295.149994,297,291.049988,293.100006,293.100006,2300558
27-07-2021,292.899994,297.600006,288.700012,291.299988,291.299988,14370419
28-07-2021,290.850006,290.850006,283.649994,284.450012,284.450012,1243902
29-07-2021,287.850006,295.399994,287.649994,293,293,4643444
30-07-2021,294.450012,299.899994,293.299988,293.950012,293.950012,2430560
02-08-2021,300.399994,300.399994,295.549988,296.799988,296.799988,883983
03-08-2021,299.299988,304.399994,297.799988,303.75,303.75,1444918
04-08-2021,305,306.450012,297.100006,298.200012,298.200012,1908258
05-08-2021,295.950012,300.75,292.75,299.700012,299.700012,1859471
06-08-2021,300,303.350006,297.799988,300,300,1325071
09-08-2021,301.299988,304.299988,296.100006,298.149994,298.149994,704030
10-08-2021,298.299988,300.049988,291,294.25,294.25,1364777
11-08-2021,294.75,297.799988,286.350006,295.450012,295.450012,1739475
12-08-2021,297.850006,307.5,297.149994,306.049988,306.049988,3392726
13-08-2021,308.950012,311.200012,303.149994,307.100006,307.100006,3090963
16-08-2021,306.5,307.899994,303,303.75,303.75,522253
17-08-2021,303.299988,303.299988,292.950012,297.649994,297.649994,1725463
18-08-2021,297.899994,297.899994,292.700012,293.350006,293.350006,679137
20-08-2021,290,290.649994,281,283.200012,283.200012,1312346
23-08-2021,286.549988,288.25,275,276.950012,276.950012,9423948
24-08-2021,278.100006,281.450012,268.5,279.850006,279.850006,2855844
25-08-2021,282,289.149994,282,284.350006,284.350006,2138539
26-08-2021,285.399994,287.399994,281.399994,284.399994,284.399994,744770
27-08-2021,282.899994,286.549988,281.700012,285.75,285.75,986385
30-08-2021,289.299988,293.399994,289.299988,291.899994,291.899994,1460028
31-08-2021,292.25,292.25,286.200012,287.350006,287.350006,1023774
01-09-2021,288.5,297.299988,287.350006,295.200012,295.200012,2855448
02-09-2021,295.700012,296.299988,291.799988,293.100006,293.100006,584219
03-09-2021,292.5,296.450012,292.399994,295.5,295.5,721619
06-09-2021,297,299,296,297.399994,297.399994,538781
07-09-2021,297.950012,297.950012,291,294.649994,294.649994,478138
08-09-2021,294.399994,298.700012,291.649994,295.049988,295.049988,1129259
09-09-2021,294,303.5,293.649994,298.799988,298.799988,1309761
13-09-2021,299.600006,301.899994,295.5,301.100006,301.100006,543880
14-09-2021,303,307.149994,302.399994,306.049988,306.049988,915452
15-09-2021,306.25,312.950012,306.200012,311.950012,311.950012,995025
16-09-2021,314,314.950012,307.799988,311.649994,311.649994,2336803
17-09-2021,312,315,306,308.5,308.5,2297730
20-09-2021,305.700012,310.149994,297.450012,299.049988,299.049988,891677
21-09-2021,297.600006,302.600006,293.049988,301.850006,301.850006,1999867
22-09-2021,303.049988,313.700012,303.049988,310.049988,310.049988,1115096
23-09-2021,312.5,324,312.5,321.549988,321.549988,4110399
24-09-2021,324.799988,327,316,317.950012,317.950012,2761697
27-09-2021,322.299988,333.5,322.299988,331.549988,331.549988,5061814
28-09-2021,333.75,336,324.700012,329.25,329.25,1480762
29-09-2021,325.5,332.899994,324,330.350006,330.350006,926283
30-09-2021,331,337.850006,329.149994,333.200012,333.200012,2600457
